ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
39262,60529.37444,3.980073,-12.867694,3.8390732,-13.4762555,2.8e-06,i,17.146,17.139,0.002,0.002,23.436,23.436
39262,60540.25183,2.8146536,-13.4535363,2.6160144,-14.7058408,2.8e-06,y,17.069,17.042,0.004,0.004,22.346,22.322
39262,60545.31862,0.8439058,-15.8151435,1.9159325,-15.2900585,2.8e-06,i,17.045,17.016,0.002,0.002,23.322,23.306
39262,60545.34562,0.8439058,-15.8151435,1.9119001,-15.2931608,2.8e-06,z,17.04,17.008,0.002,0.002,23.069,23.054
39262,60545.36981,0.8439058,-15.8151435,1.9082984,-15.2959316,2.8e-06,y,17.028,17.008,0.003,0.003,22.345,22.33
39262,60548.35673,0.4503252,-15.3038911,1.4623521,-15.6387165,2.8e-06,i,17.021,16.994,0.002,0.002,23.844,23.834
39262,60548.3779,0.4503252,-15.3038911,1.4590359,-15.6411323,2.8e-06,z,17.007,16.984,0.002,0.002,23.218,23.208
39262,60549.3581,1.6795557,-16.3331034,1.3078669,-15.752951,2.8e-06,z,17.0,16.977,0.002,0.002,23.254,23.254
39262,60549.37997,1.6795557,-16.3331034,1.3044039,-15.7554349,2.8e-06,y,16.993,16.978,0.004,0.004,22.178,22.178
39262,60566.14982,0.4288663,-17.8887519,358.4618091,-17.5423535,2.8e-06,i,16.937,16.922,0.003,0.003,23.305,22.755
39262,60566.17565,357.252571,-16.874126,358.4571102,-17.5448404,2.8e-06,z,16.931,16.911,0.002,0.002,23.016,22.987
39262,60566.20018,357.252571,-16.874126,358.4526462,-17.5472007,2.8e-06,y,16.931,16.917,0.004,0.004,22.187,22.158
39262,60568.18842,358.1042616,-16.7410145,358.0987093,-17.7347951,2.8e-06,z,16.949,16.926,0.002,0.002,23.023,23.014
39262,60568.21267,358.1042616,-16.7410145,358.0942914,-17.7370415,2.8e-06,y,16.942,16.92,0.003,0.003,22.237,22.228
39262,60574.28758,355.7726597,-19.3001449,357.016066,-18.266853,2.8e-06,i,17.016,17.002,0.002,0.002,23.21,23.149
39262,60574.28803,357.3995702,-16.9446199,357.0159832,-18.2668845,2.8e-06,i,17.02,17.004,0.002,0.002,23.19,23.157
39262,60574.31024,355.7726597,-19.3001449,357.0120061,-18.2686806,2.8e-06,z,17.005,16.999,0.003,0.003,22.705,22.645
39262,60574.31114,357.3995702,-16.9446199,357.01185,-18.2687528,2.8e-06,z,17.008,16.988,0.003,0.003,22.698,22.665
39262,60574.3341,355.7726597,-19.3001449,357.0077451,-18.2706039,2.9e-06,y,17.003,16.993,0.005,0.005,21.693,21.634
39262,60574.335,357.3995702,-16.9446199,357.0075807,-18.2706742,2.9e-06,y,17.006,16.994,0.005,0.005,21.697,21.664
39262,60575.1433,355.6767859,-16.929582,356.8662801,-18.3359224,2.8e-06,g,17.616,17.603,0.002,0.002,24.045,23.832
39262,60580.25167,354.7812409,-18.7987901,355.983406,-18.7170583,2.8e-06,g,17.697,17.691,0.002,0.002,24.31,24.295
39262,60580.27643,354.7812409,-18.7987901,355.9791246,-18.7187568,2.8e-06,r,17.22,17.211,0.002,0.002,23.824,23.809
39262,60582.1405,355.8981182,-17.8153797,355.6661434,-18.8439825,2.8e-06,u,18.977,18.969,0.004,0.004,24.004,23.994
39262,60583.05813,354.8329283,-18.0368131,355.5141838,-18.9027658,2.9e-06,u,18.989,18.986,0.005,0.005,23.599,23.587
39262,60583.08129,354.8329283,-18.0368131,355.510283,-18.9042409,2.8e-06,g,17.753,17.739,0.002,0.002,24.412,24.4
39262,60583.09661,354.8329283,-18.0368131,355.5076944,-18.9052187,2.8e-06,g,17.754,17.742,0.001,0.001,24.662,24.65
