,ccdVisitId,visitID,ra,decl,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec
90,221579090,221579,53.7275457,-42.8883302,53.5832148,-43.0066923,53.5687266,-42.7805575,53.8713468,-42.7697754,53.8869286,-42.9958768
91,221579091,221579,53.712211,-42.653843,53.5683959,-42.7722124,53.5539964,-42.5460654,53.8554843,-42.5352871,53.8709777,-42.7614078
92,221579092,221579,53.6971458,-42.4194706,53.5538017,-42.5377956,53.5396087,-42.3116559,53.8399595,-42.3009681,53.8552513,-42.5270809
93,221579093,221579,54.0477842,-42.8768839,53.9040265,-42.9956266,53.8884611,-42.7695229,54.1909921,-42.7579488,54.2076577,-42.9840152
94,221579094,221579,54.0310865,-42.6418934,53.8879078,-42.760671,53.8723384,-42.5345531,54.1737329,-42.5229368,54.1903835,-42.7490116
95,221579095,221579,54.0148975,-42.4075677,53.8722061,-42.5263134,53.8567848,-42.3002045,54.1570428,-42.2886521,54.1735506,-42.5147184
96,221579096,221579,54.3681518,-42.8640356,54.2251158,-42.9832337,54.2082466,-42.7571777,54.5106291,-42.7446577,54.5285886,-42.9706567
97,221579097,221579,54.3498091,-42.6291354,54.2072537,-42.7483022,54.1905543,-42.5222299,54.4918004,-42.5097979,54.5095953,-42.7358133
98,221579098,221579,54.3324333,-42.3948762,54.1903413,-42.5139858,54.1738491,-42.2879198,54.4739649,-42.275607,54.4915591,-42.5016182
99,221579099,221579,53.6814947,-42.183297,53.5387441,-42.3016494,53.5245104,-42.0755563,53.82371,-42.0647822,53.8390354,-42.290844
100,221579100,221579,53.6663343,-41.9488898,53.5240627,-42.0671811,53.5100006,-41.8411545,53.808061,-41.830442,53.8232268,-42.0564386
101,221579101,221579,53.6513565,-41.7145099,53.5095943,-41.8327379,53.4956636,-41.6068073,53.7925877,-41.5961357,53.8076142,-41.8220383
102,221579102,221579,53.9985505,-42.1714108,53.8564212,-42.290153,53.8410277,-42.0640937,54.1401208,-42.0525042,54.1566313,-42.2785255
103,221579103,221579,53.9814161,-41.9368417,53.8397921,-42.0555305,53.8245303,-41.8295357,54.1224986,-41.818007,54.1388561,-42.0439568
104,221579104,221579,53.9653004,-41.7028935,53.8241905,-41.8215235,53.8090344,-41.5956248,54.1058702,-41.5841292,54.1221182,-41.8099817
105,221579105,221579,54.3143813,-42.1588322,54.1728668,-42.277937,54.1563717,-42.0519204,54.4553389,-42.0395729,54.4729331,-42.2655399
106,221579106,221579,54.2971846,-41.9245622,54.1562015,-42.0436258,54.1397715,-41.8176777,54.4376164,-41.8053581,54.4551276,-42.0312502
107,221579107,221579,54.2795097,-41.6903172,54.1389829,-41.8092749,54.1227789,-41.5834186,54.4194865,-41.5712275,54.4367819,-41.7970276
108,221579108,221579,53.6370551,-41.4783841,53.4957259,-41.5964871,53.4820734,-41.3706761,53.7778524,-41.360148,53.7926061,-41.5859265
109,221579109,221579,53.6220105,-41.2443162,53.4812498,-41.3623736,53.4675982,-41.1367214,53.7622394,-41.1261372,53.7769792,-41.3517608
110,221579110,221579,53.6072754,-41.0100474,53.4670333,-41.1280066,53.4534877,-40.902536,53.7469839,-40.891969,53.7616257,-41.117409
111,221579111,221579,53.9498837,-41.4667614,53.809236,-41.5852767,53.7942987,-41.3595038,54.0899897,-41.3481197,54.1060228,-41.5738524
112,221579112,221579,53.9339082,-41.2328884,53.7937579,-41.3513043,53.7789639,-41.1256834,54.0735204,-41.1143606,54.0894132,-41.3399385
113,221579113,221579,53.9180446,-40.9986582,53.7784215,-41.1169791,53.7637069,-40.8915392,54.0571229,-40.88023,54.0729329,-41.1056288
114,221579114,221579,54.2623941,-41.4545308,54.1223259,-41.5733688,54.1063378,-41.3476366,54.4019101,-41.3355721,54.4189873,-41.5612505
115,221579115,221579,54.2450135,-41.2202929,54.1055226,-41.3390766,54.0895201,-41.1135046,54.3839477,-41.101396,54.401041,-41.3269149
116,221579116,221579,54.2285293,-40.9866857,54.0894915,-41.1053209,54.0737197,-40.879922,54.367022,-40.867956,54.3838797,-41.0932959
117,221579117,221579,54.8078969,-44.2578851,54.662517,-44.3773195,54.6437523,-44.1520199,54.952713,-44.1382143,54.9725557,-44.3634489
118,221579118,221579,54.7882656,-44.0240531,54.6433736,-44.1435424,54.6247508,-43.9180558,54.9325918,-43.9043382,54.95229,-44.1297564
119,221579119,221579,54.7680828,-43.7898862,54.6236574,-43.9094015,54.6052291,-43.6837522,54.9119446,-43.6701566,54.9314605,-43.8957392
120,221579120,221579,55.1344307,-44.2431766,54.9897367,-44.3630371,54.9698401,-44.1378068,55.2785423,-44.1230912,55.2995181,-44.3482379
121,221579121,221579,55.1136967,-44.0091156,54.9694715,-44.1290095,54.949758,-43.9035927,55.2573407,-43.8890046,55.2781361,-44.1143428
