ObjID,H_r
2014 SR403,6.12922
2014 SS403,7.38117
2014 ST403,8.06743
2016 QP85,7.71285
2014 SQ373,7.04986
2014 SU403,7.05326
2014 SV403,7.42055
2014 SW403,8.17895
2015 VQ207,8.92208
2014 SX403,7.07308
2014 QA442,5.24649
2014 SY403,7.51088
2014 SO373,7.0498
2015 TP454,6.93876
2014 SZ403,7.78463
2014 SP373,7.09792
2014 SW373,7.22721
2016 SY55,7.81713
2016 SQ55,6.81656
2014 QU441,7.88812
2014 SA404,8.17201
2014 SB404,8.27076
2014 SC404,8.81393
2014 SD404,8.76939
2014 SC374,8.09401
2014 SN350,7.49238
2014 SR404,7.41602
2014 SE404,7.35694
2014 SA374,6.86777
2014 SK404,8.08819
2014 TS100,7.12742
2014 SN373,6.61338
2016 RF82,7.85844
2014 SS373,6.59787
2014 SU373,7.68115
2014 SF404,8.09072
2014 SL404,7.51868
2014 SG404,7.98257
2014 SH404,7.40455
2014 SM373,7.39983
2016 TY94,7.24174
2015 SZ49,7.74945
2016 TA95,7.55803
2010 TY53,5.57954
2014 SJ404,8.61849
2014 SO350,7.90753
2015 PL312,8.36183
2014 TF86,6.85191
2016 RG82,7.48801
2014 TO115,7.56378
2014 TP115,8.02938
1999 RN215,6.69034
2016 UO273,7.62482
2014 SV373,6.74208
2014 TT100,7.82189
2014 TF116,7.07867
2014 TQ115,8.21804
2014 TR115,6.66868
2001 QH298,8.18275
2014 TS115,8.2215
2014 TT115,6.2686
2014 UO250,7.38039
2014 TU115,8.00237
2015 RX345,7.84141
2014 UF224,7.22078
2014 TE86,6.87316
2014 TV115,7.89208
2015 UK84,6.75706
2015 QV33,8.46696
2014 TW115,7.75548
2014 TX115,6.54514
2014 TY115,8.23816
2014 TZ115,7.4334
2014 TA116,8.22064
2014 TB116,7.93676
2014 UF277,7.2457
C/2014 UN271,8.01944
2014 UG277,8.04632
2015 VR207,7.95205
2014 UH277,6.76644
2014 UJ277,7.1298
2016 UP273,8.92461
2014 UK277,7.64168
2014 UL277,6.61163
2014 UE278,7.46207
2016 SW105,7.61835
2016 RH82,7.18466
2014 UM277,7.87598
2014 UN277,7.47398
2001 QG298,6.71452
2014 UO277,8.7682
2014 UN250,7.45661
2014 RL74,6.01015
2014 UP277,8.88218
2014 XB48,7.47053
2016 RJ82,7.85008
2015 VS207,8.35024
2014 UP250,6.02299
2014 UQ277,7.50718
2014 UY277,7.81947
2014 UR277,7.7561
2014 US277,4.94292
2014 SB374,6.90025
2013 UM17,7.53957
2014 UT277,6.83456
2015 TX363,8.08725
2016 SO56,7.67438
2014 UU277,8.11821
2014 UV277,8.06294
2014 UU240,8.15465
2016 TW94,7.69257
2014 UW277,8.71601
2014 UX277,6.93908
2014 UQ250,7.48338
2014 VO43,7.20728
2015 UN105,7.45465
2014 VC41,8.26377
2014 VW37,7.0528
2014 VP43,7.18057
2014 WC556,7.29946
2014 WX601,7.55153
2014 WY555,7.19329
2014 WZ555,7.0882
2014 WY601,7.76609
2014 WZ601,7.54763
2014 WA602,7.34049
2014 WB602,8.01532
2014 WC602,8.0868
2014 WD602,7.79368
2014 WE602,8.0869
2014 WF602,7.61009
2014 WD556,8.37515
2014 SP363,6.27675
2014 WA556,6.22002
2014 WG602,7.47516
2010 RF64,5.53645
2014 WH602,8.46685
2014 WJ602,6.83601
2014 WB556,7.2161
2014 WL602,7.9571
2016 RK82,7.96672
2016 TZ94,7.26076
2014 WM602,7.65122
2015 VT207,8.19403
2014 XZ47,7.42952
2014 XR54,7.88628
2014 XX47,7.11359
2014 XY47,7.14506
2014 XC48,7.24204
2014 SO363,7.54494
2014 XA48,7.15503
2014 XS54,7.76529
2016 XO34,7.85596
2014 XT54,6.94548
2014 XY40,5.082
2015 QW33,7.13066
2014 XU54,7.63985
2010 TJ,5.4874
2014 YZ91,8.0764
2014 YT72,7.3959
2014 YA92,8.04579
2016 TS94,7.6469
2014 YL50,7.09475
2014 YB92,8.75656
2014 YC92,5.08226
2014 YD92,6.79682
2014 XW47,7.31392
2014 YE92,7.5003
2014 YU72,7.12865
2015 QX33,7.61657
2014 YF92,6.81973
2014 YR72,6.80397
2015 QY33,7.55756
2014 YS72,8.26031
2016 PK220,7.42098
2014 YG92,7.6777
2014 YH92,7.99019
2016 SX105,7.81078
2015 QZ33,7.08824
2014 YJ92,8.11277
2015 VJ181,7.16071
2015 VU207,7.36549
2016 TT94,6.68041
2015 AN304,7.92863
2015 AS293,6.33198
2015 VV207,8.42861
2015 RY345,7.55044
2015 VB208,8.23191
2016 RL82,8.06128
2015 QA34,8.29252
2016 UQ273,7.01538
2015 QB34,7.62876
2015 QC34,8.02819
2015 QL34,7.4507
2016 WB75,7.98497
2017 RY137,8.01965
2016 SY105,8.54942
2015 TQ454,8.37517
2015 UO105,8.25769
2016 TL176,8.65084
2016 QV134,8.84564
2016 PL220,8.82182
