ObjID,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,FORMAT
2013 UF31,31.65909,0.198014,32.0526966,178.044322,177.03921,51719.03102287399,57388.00078916584,BCOM
2013 RD158,35.76645,0.6320473,32.6860443,41.129954,23.96197,65756.68289072995,57388.00078916584,BCOM
2003 UB313,38.09433,0.4384278,43.9929047,35.976497,151.22216,145670.84041072283,57388.00078916584,BCOM
2013 TU187,32.97476,0.1605643,14.8847386,84.375611,290.78576,55024.43841601614,57388.00078916584,BCOM
2015 TK363,38.16795,0.0664898,14.7881902,142.995169,174.3078,40683.74851801508,57388.00078916584,BCOM
2013 RE158,28.9659,0.3968068,28.2829361,173.914412,84.26514,46324.931778685204,57388.00078916584,BCOM
2013 RQ124,38.81643,0.1696158,21.6193773,179.906956,61.68671,31747.995002481643,57388.00078916584,BCOM
2013 RF158,37.45602,0.208783,16.5537536,321.400417,359.44207,51899.542992865994,57388.00078916584,BCOM
2013 RG158,38.02331,0.3645348,28.5230458,181.160275,176.79829,58938.76758076012,57388.00078916584,BCOM
2013 RO158,37.47879,0.0714822,18.2059991,188.984931,155.19745,56023.89783603755,57388.00078916584,BCOM
2013 RR98,35.88615,0.2852689,37.7609822,62.265016,233.50043,49392.864636585895,57388.00078916584,BCOM
2014 QR441,42.62261,0.3723661,42.2274028,77.933183,282.66638,60324.47309074419,57388.00078916584,BCOM
2013 RR124,38.96289,0.0646195,45.3269154,101.091853,221.2308,47002.99487869704,57388.00078916584,BCOM
2005 QU182,36.89701,0.6700905,14.0296879,78.408715,223.99277,41145.39154184239,57388.00078916584,BCOM
2014 QW495,33.7249,0.7469654,28.5044985,75.935712,208.87714,53480.17365288867,57388.00078916584,BCOM
2017 SE277,39.94593,0.547606,30.6265929,0.449647,326.03865,62846.624100733025,57388.00078916584,BCOM
2014 RK86,22.04505,0.9432157,26.3818989,8.200962,223.30718,50365.99175970273,57388.00078916584,BCOM
2013 SY111,37.2187,0.3142265,45.1077167,8.895517,22.17599,74387.19498073704,57388.00078916584,BCOM
2013 SG106,37.70696,0.387898,20.5101234,186.885994,167.24318,55881.718636004116,57388.00078916584,BCOM
2013 SZ111,36.3541,0.1233138,25.9324113,357.193419,330.22334,49254.01335655511,57388.00078916584,BCOM
2013 SJ106,42.98116,0.0336438,2.8391574,129.465506,179.3237,41950.28223136975,57388.00078916584,BCOM
2015 RG277,42.34703,0.014264,12.0890909,194.451854,216.3903,69894.88162075964,57388.00078916584,BCOM
2013 SA112,39.81331,0.0792455,11.7459248,8.781236,359.94925,57613.15008915459,57388.00078916584,BCOM
2013 SB112,35.18052,0.0816883,33.3217418,14.539902,44.55257,67742.24889075702,57388.00078916584,BCOM
2013 SC112,39.1659,0.1245828,9.4801711,23.569322,47.5898,72121.68555075761,57388.00078916584,BCOM
2013 SD112,32.32691,0.0714413,5.3986513,60.55101,244.60277,44692.336882426505,57388.00078916584,BCOM
2016 RV81,38.28806,0.1553197,21.4491248,188.401589,266.45783,77761.14221072187,57388.00078916584,BCOM
2013 SK106,43.59006,0.0232966,1.1636625,49.15663,320.19104,56851.294077589984,57388.00078916584,BCOM
2013 SH113,41.69541,0.0805098,1.1865141,109.134436,249.54029,54145.633124457396,57388.00078916584,BCOM
2013 SK102,35.4873,0.1839466,7.4183152,66.34299,151.52278,17651.719102518262,57388.00078916584,BCOM
2013 SJ102,31.55611,0.2765257,7.3455807,93.721109,315.533,64047.23248075962,57388.00078916584,BCOM
2013 SE112,36.79251,0.1302363,6.4587424,329.90052,346.13637,47580.259570292525,57388.00078916584,BCOM
2013 SF112,43.24555,0.0129221,3.757511,256.975126,326.92943,20025.947252481514,57388.00078916584,BCOM
2013 SH106,37.51158,0.216654,15.4531576,149.662598,195.08252,50950.75063131054,57388.00078916584,BCOM
2013 SG112,36.98519,0.15575,4.1321282,42.783802,283.9656,49626.95449812872,57388.00078916584,BCOM
2013 SH112,41.48465,0.0937442,1.7767093,119.113304,165.2209,35801.38363248805,57388.00078916584,BCOM
2013 SJ112,43.47354,0.0062069,3.8421088,95.835255,22.09477,89539.29913074241,57388.00078916584,BCOM
2013 SN102,38.00672,0.4386924,4.4545933,114.147168,247.35865,55912.80510601265,57388.00078916584,BCOM
2013 SK112,40.66841,0.0781698,1.9275997,116.687999,122.44106,20549.356852514502,57388.00078916584,BCOM
2013 SL112,31.78004,0.0876476,2.090537,106.052524,339.19113,70687.92206075131,57388.00078916584,BCOM
2017 QQ131,40.04496,0.0764848,3.3883751,60.179486,17.33817,74161.18913073081,57388.00078916584,BCOM
2013 SM112,41.00587,0.0722051,2.7153887,97.571145,77.6536,105664.27382075717,57388.00078916584,BCOM
2013 SM106,37.53439,0.1714953,16.8996597,21.230415,336.27863,53186.66022287145,57388.00078916584,BCOM
2013 TH187,41.72402,0.0554797,2.8342761,89.282315,254.88163,48932.939474983985,57388.00078916584,BCOM
2013 SL100,41.18648,0.059482,3.4208912,128.801687,262.46392,61422.86756074536,57388.00078916584,BCOM
2013 VZ71,37.67076,0.2815458,28.1242335,174.439309,212.17943,58825.877970732,57388.00078916584,BCOM
2013 TO187,31.84078,0.1893053,9.1632128,82.362844,333.77185,62253.894640758146,57388.00078916584,BCOM
2014 QC442,34.49675,0.5006612,18.9899402,46.673679,45.02931,70771.45516072655,57388.00078916584,BCOM
2013 SO102,30.70892,0.219608,9.8515611,145.226015,257.86729,59849.13009072172,57388.00078916584,BCOM
