ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RA_deg,RARateCosDec_deg_day,Dec_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg
1999 LZ3,116087,60394.12603700732,2460394.626410019,243160378.79207245,10.581934141239756,152.01275346087328,-0.1416395035839975,15.973890398501853,0.0740996152964001,-355139019.43085605,98668765.15547286,62131099.5004752,-3.073288623521972,-17.258581328335836,-5.436528113286901,-148706809.5746242,-11034254.40447239,-4786462.077985404,1.7612009389432506,-27.70577702120265,-11.847757492675854,13.729544674746446
2001 SF198,116639,60394.38681638566,2460394.887189019,268755715.27832884,-19.20523488515904,252.7624877604632,0.1195813385880416,-13.838434530181956,0.0605230153944322,-225988429.7158391,-260891316.40282616,-69335669.5668441,13.92384740648941,-12.31713344680435,-4.0604435931781255,-148658794.06468272,-11657393.246539949,-5053374.236387955,2.431327898662367,-27.45319615149533,-11.844608747722663,23.215258633952736
2001 SF198,116661,60394.39718156925,2460394.897554019,268738528.7568959,-19.178489729334988,252.76376389654365,0.1195163871170473,-13.837806538073016,0.060652478884727,-225975959.3348459,-260902347.227736,-69339305.98873077,13.924462897288755,-12.3164228521325,-4.060254753800868,-148656610.83845174,-11681967.161402944,-5063981.43796218,2.444196058681805,-27.42763027062195,-11.844447342708795,23.213692946330298
1999 LZ3,117062,60395.1615621406,2460395.66193502,244120492.0709161,11.034548891918602,151.8720887554833,-0.1347542538293408,16.049093647470848,0.0702236799827822,-355410359.9977448,97123707.0655516,61644083.48185298,-2.992445801229347,-17.280865734474702,-5.450614298224682,-148512015.83621687,-13479278.429205634,-5845689.312331636,2.382785882118996,-27.68880033076301,-11.82912638235236,14.127354850617778
1999 LZ3,117112,60395.1853890408,2460395.685762019,244143272.7601905,11.096016486655646,151.86875529985164,-0.1341160597516341,16.050762241199827,0.0698387722921963,-355416518.2607447,97088132.553413,61632862.64159915,-2.990583180905232,-17.281374825992785,-5.450937412082071,-148507036.22795516,-13536285.522246549,-5870041.032251831,2.455071698312787,-27.69260625120928,-11.828792407466311,14.136569399926026
1999 LZ3,117162,60395.20910835882,2460395.709481019,244166071.9345212,11.153172282682332,151.8654546623113,-0.1333194016192894,16.05241442871175,0.0694790995009035,-355422644.8008605,97052718.2543532,61621692.00309847,-2.9887288936578167,-17.28188144594346,-5.451259016394781,-148501931.09958002,-13593032.777803194,-5894281.690661868,2.5270876104245183,-27.6874029238778,-11.828458601002348,14.14572323258777
1999 LZ3,120565,60399.09997425072,2460399.6003470197,248055936.8188868,12.213446158205423,151.40306085381457,-0.1097190225256669,16.303399195206264,0.0580824327229219,-356376037.6166286,91229560.00542308,59780410.03098559,-2.6830744550688825,-17.362759260984106,-5.503403088514566,-147338647.68968123,-22726838.45696415,-9854758.189580364,4.260697566703365,-27.409138597814223,-11.725268464027245,15.573056249028353
1999 LZ3,120615,60399.123835000006,2460399.624208019,248081183.99099705,12.278723772299154,151.40033623243104,-0.1094413022812694,16.304780168273957,0.057669918270599,-356381566.8506166,91193766.0738046,59769064.40621495,-2.6811909930560933,-17.36324149874247,-5.503719080816197,-147329794.6994603,-22783368.72015026,-9878930.216721846,4.328398253944601,-27.430877228719577,-11.72461610573166,15.58166207248434
1992 SF17,120879,60399.24922813567,2460399.749601019,314630105.1153812,-6.868545582143713,205.3529758321472,-0.1943628177195945,-10.662450970084354,0.084863829583709,-426698895.6862509,-155477119.14762145,-68219620.9221138,4.608943289833077,-13.773063313560334,-5.14968755183042,-147280869.09556395,-23080607.408058003,-10005935.758935835,4.700628106135412,-27.39968801763228,-11.721201282039726,5.6687215040584364
1992 SF17,120945,60399.28118382621,2460399.781556019,314611272.41825366,-6.774275156593642,205.3466562162241,-0.1942994715692629,-10.65973468196908,0.0851421939708359,-426686168.2810421,-155515145.41754448,-68233838.72388418,4.610557369957662,-13.77247529879379,-5.1494295372320975,-147267772.53405833,-23156195.490139306,-10038295.725049775,4.785044089072781,-27.353897388354408,-11.720299742432198,5.656662754671498
