index ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0)
4513 6 1622255 63054.958401 2686990678.730684 33.244 198.077123 0.003004 3.170097 -0.014889 -2510569142.469 -967153698.532 90215562.931 -3.085 -5.311 -3.174 39882179.673 -134664712.619 -58376121.01 28.389 6.676 3.057 3.238933 32.868 12.868
4514 6 1622277 63054.969849 2687023574.075919 33.273 198.077158 0.003017 3.169927 -0.014896 -2510572193.711 -967158950.759 90212423.904 -3.085 -5.311 -3.174 39910271.869 -134658102.145 -58373095.943 28.415 6.691 3.059 3.238937 32.868 12.868
4515 6 1622311 63054.985395 2687068292.449749 33.312 198.077205 0.00304 3.169695 -0.014905 -2510576337.347 -967166083.402 90208161.027 -3.085 -5.311 -3.174 39948461.334 -134649098.175 -58368984.514 28.448 6.716 3.062 3.238943 32.868 12.868
4516 6 1622361 63055.009498 2687137725.285414 33.371 198.077278 0.003091 3.169336 -0.014918 -2510582761.514 -967177141.719 90201551.926 -3.085 -5.311 -3.174 40007754.584 -134635067.64 -58362602.656 28.496 6.76 3.067 3.238951 32.868 12.868
4527 6 1736133 63267.354282 2718011997.944725 -23.044 205.218899 -0.010135 -0.191903 0.009573 -2564380384.926 -1063472090.272 31902939.745 -2.783 -5.187 -3.18 -105445166.661 94605805.285 41006488.463 -21.244 -20.032 -8.514 2.825594 32.934 12.934
4517 6 1623359 63058.990181 2698563746.250122 33.308 198.098946 0.006386 3.107508 -0.016161 -2511642722.047 -969003066.011 89109999.785 -3.079 -5.308 -3.174 49628376.456 -131902800.221 -57178214.908 27.908 8.476 3.817 3.230795 32.878 12.878
4519 6 1725027 63249.339613 2755716503.458984 -25.271 205.246814 0.005787 -0.314801 0.003896 -2560029095.521 -1055390229.42 36852863.875 -2.808 -5.197 -3.18 -67579306.52 119955990.968 51993583.683 -27.028 -13.058 -5.488 3.039796 32.972 12.972
4520 6 1725049 63249.350798 2755692091.754752 -25.248 205.246879 0.005748 -0.314758 0.0039 -2560031809.303 -1055395252.664 36849790.501 -2.808 -5.197 -3.18 -67605412.691 119943366.893 51988279.049 -26.998 -13.067 -5.49 3.039748 32.972 12.972
4521 6 1729553 63257.346324 2738568207.414424 -24.631 205.269571 -0.001328 -0.272862 0.006545 -2561967822.813 -1058984287.412 34652882.354 -2.797 -5.193 -3.18 -85482885.015 110036056.773 47694845.677 -24.742 -16.364 -6.918 2.980725 32.957 12.957
4522 6 1729575 63257.356201 2738547197.150256 -24.608 205.269557 -0.001355 -0.272797 0.006549 -2561970209.748 -1058988719.121 34650168.365 -2.797 -5.193 -3.18 -85503987.823 110022089.853 47688940.772 -24.714 -16.368 -6.92 2.98061 32.957 12.957
4523 6 1729603 63257.372857 2738511815.075821 -24.566 205.269535 -0.001396 -0.272688 0.006555 -2561974234.73 -1058996192.153 34645591.855 -2.797 -5.193 -3.18 -85539518.657 109998533.037 47678980.119 -24.667 -16.371 -6.923 2.980416 32.957 12.957
4524 6 1731962 63261.36649 2730157441.739749 -24.058 205.259732 -0.004909 -0.243997 0.007804 -2562938374.118 -1060787635.987 33548248.861 -2.791 -5.19 -3.18 -93853591.569 104221073.881 45174753.08 -23.377 -17.897 -7.587 2.929147 32.949 12.949
4525 6 1731985 63261.376883 2730135851.59894 -24.031 205.259681 -0.004929 -0.243916 0.007808 -2562940880.597 -1060792296.767 33545393.25 -2.791 -5.19 -3.18 -93874569.298 104205004.255 45167940.092 -23.348 -17.896 -7.588 2.928988 32.949 12.949
4518 6 1623409 63059.014096 2698632628.804946 33.363 198.099099 0.006446 3.107121 -0.016173 -2511649084.134 -969014033.649 89103441.604 -3.079 -5.308 -3.174 49686089.434 -131885235.948 -57170322.884 27.951 8.525 3.822 3.23072 32.879 12.879
4546 6 1743649 63280.373608 2693910755.822227 -19.611 205.024363 -0.021014 -0.045015 0.012838 -2567501078.682 -1069302627.156 28325442.722 -2.765 -5.179 -3.18 -126473778.17 70230990.621 30441959.716 -15.693 -23.835 -10.182 2.494254 32.897 12.897
4468 6 1583866 62983.245437 2522648293.754723 14.071 199.778623 -0.045222 3.303642 0.011015 -2491122893.938 -934121011.592 109868773.322 -3.193 -5.353 -3.17 -121237834.627 -81908591.617 -35505118.373 17.507 -22.357 -9.585 1.217717 32.561 12.561
4466 6 1583816 62983.221694 2522619493.003989 14.007 199.779698 -0.045285 3.303381 0.011028 -2491116344.376 -934110031.464 109875276.428 -3.193 -5.353 -3.17 -121273699.115 -81862673.632 -35485453.286 17.457 -22.409 -9.587 1.216608 32.561 12.561
4107 6 927249 61817.372502 2027505817.825913 -13.08 192.671498 -0.03601 11.011384 0.023781 -2065378362.239 -362352842.593 419431219.153 -5.438 -5.971 -2.894 -123673664.717 74214304.203 32169423.088 -16.604 -23.32 -9.957 2.686025 31.722 11.722
4106 6 927248 61817.372055 2027506323.576958 -13.081 192.671514 -0.03601 11.011373 0.023782 -2065378151.962 -362352611.709 419431331.059 -5.438 -5.971 -2.894 -123673022.7 74215205.889 32169808.064 -16.605 -23.32 -9.957 2.686047 31.722 11.722
4105 6 927097 61817.299332 2027589164.128898 -13.289 192.674132 -0.035966 11.009641 0.023856 -2065343980.824 -362315092.502 419449515.925 -5.438 -5.971 -2.894 -123568048.619 74361869.801 32232339.712 -16.813 -23.35 -9.948 2.689703 31.722 11.722
4104 6 927047 61817.275431 2027616675.222525 -13.356 192.674991 -0.035906 11.00907 0.02388 -2065332749.952 -362302761.461 419455492.483 -5.438 -5.971 -2.894 -123533256.327 74410082.035 32252879.034 -16.884 -23.342 -9.945 2.690903 31.722 11.722
4103 6 926502 61816.393458 2028637981.224462 -13.419 192.705348 -0.035056 10.988113 0.023631 -2064918231.404 -361847714.129 419676018.841 -5.441 -5.971 -2.894 -122234326.845 76145521.127 33006787.569 -16.99 -23.032 -9.842 2.733999 31.726 11.726
4102 6 920496 61807.353716 2040532788.678748 -16.803 192.974098 -0.026151 10.780827 0.022022 -2060660132.745 -357182073.121 421934375.325 -5.463 -5.975 -2.889 -107314977.447 92853119.113 40247398.978 -20.825 -20.381 -8.664 3.144613 31.76 11.76
4101 6 920440 61807.327311 2040571208.236324 -16.877 192.974788 -0.026108 10.780245 0.022046 -2060647669.285 -357168440.254 421940966.9 -5.463 -5.975 -2.889 -107267379.082 92899620.06 40267159.824 -20.902 -20.382 -8.66 3.145741 31.76 11.76
4108 6 927274 61817.38507 2027491633.953291 -13.045 192.671045 -0.035996 11.011683 0.023769 -2065384267.602 -362359326.666 419428076.409 -5.438 -5.971 -2.894 -123691676.465 74188988.601 32158610.619 -16.571 -23.307 -9.958 2.685393 31.722 11.722
4100 6 917447 61803.343762 2046573310.660686 -18.109 193.066487 -0.021863 10.694511 0.021029 -2058765718.035 -355111473.831 422935036.593 -5.473 -5.977 -2.887 -99808950.706 99544283.521 43147338.912 -22.37 -19.017 -8.07 3.305104 31.774 11.774
