 ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0
78 S1000000a 910872 61794.355685 349499309.589 -17.821 164.029022 -0.071544 -19.299118 -0.027227 -398357564.267 203458255.098 -66660255.803 -7.249 -15.801 -2.505 -81230195.193 112697253.611 48849212.671 -25.342 -15.582 -6.581 15.247711 19.287 5.087
79 S1000000a 913023 61797.33801 344984339.281 -17.021 163.810519 -0.086701 -19.364566 -0.01562 -400206594.553 199376959.892 -67302635.069 -7.102 -15.875 -2.48 -87645211.335 108631697.92 47086486.465 -24.459 -16.773 -7.097 14.701465 19.239 5.039
80 S1000000a 913045 61797.348285 344969240.479 -16.994 163.809629 -0.086651 -19.364725 -0.015458 -400212899.295 199362865.359 -67304837.211 -7.101 -15.876 -2.48 -87666912.511 108616805.503 47080184.835 -24.43 -16.777 -7.099 14.699481 19.239 5.039
81 S1000000a 913075 61797.362586 344948265.015 -16.958 163.80839 -0.086541 -19.364945 -0.015236 -400221673.466 199343248.249 -67307902.02 -7.1 -15.876 -2.48 -87697072.889 108596072.965 47071411.562 -24.389 -16.781 -7.102 14.696719 19.239 5.039
82 S1000000a 913094 61797.371311 344935488.769 -16.936 163.807635 -0.086451 -19.365077 -0.015104 -400227026.551 199331278.756 -67309771.924 -7.1 -15.876 -2.48 -87715450.435 108583421.613 47066057.062 -24.364 -16.782 -7.103 14.695034 19.239 5.039
83 S1000000a 913724 61798.326608 343535375.708 -16.754 163.728356 -0.091633 -19.378464 -0.011726 -400811117.988 198019854.849 -67514158.662 -7.053 -15.9 -2.472 -89718957.26 107217230.485 46473134.356 -24.165 -17.155 -7.264 14.513047 19.223 5.023
84 S1000000a 913776 61798.351359 343499616.617 -16.69 163.726089 -0.091517 -19.378749 -0.011332 -400826199.339 197985850.913 -67519445.413 -7.051 -15.9 -2.472 -89770557.949 107180530.465 46457596.219 -24.094 -17.167 -7.268 14.50818 19.223 5.023
85 S1000000a 915244 61800.343238 340657446.402 -16.095 163.545867 -0.101112 -19.394422 -0.003146 -402031258.419 195245096.126 -67943441.998 -6.952 -15.949 -2.455 -93863792.209 104230001.262 45178433.907 -23.44 -17.924 -7.596 14.117919 19.191 4.991
86 S1000000a 915246 61800.344153 340656174.57 -16.093 163.545774 -0.101105 -19.394425 -0.003131 -402031807.847 195243835.682 -67943636.029 -6.952 -15.949 -2.455 -93865644.508 104228584.826 45177833.639 -23.438 -17.924 -7.596 14.117733 19.191 4.991
87 S1000000a 915266 61800.354632 340641615.578 -16.066 163.544715 -0.101013 -19.394457 -0.002966 -402038102.736 195229393.845 -67945859.126 -6.952 -15.949 -2.455 -93886852.683 104212354.585 45170955.106 -23.408 -17.926 -7.598 14.115601 19.191 4.991
88 S1000000a 915268 61800.355537 340640360.274 -16.064 163.544624 -0.101004 -19.394459 -0.002952 -402038645.959 195228147.512 -67946050.974 -6.952 -15.949 -2.455 -93888681.663 104210953.847 45170361.417 -23.405 -17.926 -7.598 14.115417 19.191 4.991
89 S1000000a 918927 61805.328568 334017085.64 -14.474 163.01484 -0.123394 -19.360373 0.018192 -404972253.534 188349293.67 -68991887.835 -6.703 -16.068 -2.413 -103588908.316 96292497.461 41737678.827 -21.668 -19.711 -8.369 13.087862 19.11 4.91
90 S1000000a 918980 61805.353886 333985495.051 -14.41 163.011719 -0.12311 -19.359907 0.018596 -404986914.607 188314143.424 -68997165.568 -6.701 -16.068 -2.412 -103636227.005 96249376.547 41719367.187 -21.595 -19.713 -8.373 13.082366 19.11 4.91
91 S1000000a 919692 61806.333418 332765230.246 -14.11 162.894747 -0.127446 -19.340497 0.022695 -405551998.035 186953224.441 -69200989.273 -6.652 -16.091 -2.404 -105454531.937 94601060.028 41004659.436 -21.272 -20.051 -8.517 12.872589 19.094 4.894
92 S1000000a 920936 61808.20378 330516136.196 -13.738 162.661259 -0.134748 -19.291651 0.029454 -406619391.487 184349287.173 -69588192.602 -6.558 -16.134 -2.388 -108837532.715 91379630.154 39606687.292 -20.846 -20.57 -8.783 12.467247 19.064 4.864
93 S1000000a 921028 61808.248263 330463561.933 -13.62 162.655249 -0.135397 -19.290325 0.030191 -406644591.501 184287273.197 -69597369.622 -6.555 -16.135 -2.387 -108917439.915 91300420.0 39572920.099 -20.734 -20.645 -8.789 12.457403 19.063 4.863
94 S1000000a 922012 61809.362296 329177600.513 -12.951 162.508416 -0.1385 -19.253574 0.036573 -407272888.166 182732910.651 -69826715.797 -6.499 -16.161 -2.378 -110876188.199 89327243.485 38719441.96 -20.009 -21.02 -8.944 12.212726 19.046 4.846
95 S1000000a 922013 61809.362743 329177100.307 -12.949 162.508354 -0.138492 -19.253558 0.036579 -407273139.212 182732286.397 -69826807.646 -6.499 -16.161 -2.378 -110876961.03 89326431.559 38719096.479 -20.007 -21.02 -8.944 12.212626 19.046 4.846
96 S1000000a 922034 61809.373976 329164544.593 -12.924 162.5068 -0.13826 -19.253146 0.036743 -407279446.966 182716600.604 -69829115.502 -6.499 -16.161 -2.378 -110896364.177 89306033.075 38710414.727 -19.976 -21.014 -8.946 12.210115 19.045 4.845
97 S1000000a 922035 61809.374422 329164046.4 -12.923 162.506738 -0.13825 -19.25313 0.03675 -407279697.493 182715977.574 -69829207.166 -6.499 -16.161 -2.378 -110897134.227 89305222.993 38710069.863 -19.975 -21.014 -8.946 12.210015 19.045 4.845
98 S1000000a 925811 61815.314115 322981509.945 -10.739 161.655308 -0.1586 -18.962897 0.063161 -410537456.315 174387825.18 -71036127.636 -6.197 -16.293 -2.326 -120607456.793 78251681.711 33918583.479 -17.646 -22.807 -9.713 10.897621 18.953 4.753
